Gana,Kanji,Meaning,JP_Example_1,JP_Example_Pronunciation_1,JP_Example_Meaning_1,JP_Example_2,JP_Example_Pronunciation_2,JP_Example_Meaning_2
あつい,熱い,뜨겁다,今日は本当にあつい日ですね。,きょうはほんとうにあついひですね。,오늘은 정말 더운 날이네요.,このコーヒーはあついのでやけどに気をつけてください。,このコーヒーはあついのでやけどにきをつけてください。,이 커피는 뜨거워서 화상을 입지 않도록 주의해 주세요
あつまる,集まる,모이다,みんなが広場に集まった。,みんながひろばにあつまった。,모두가 광장에 모였다.,公園に人があつまる。,こうえんにひとがあつまる。,공원에 사람들이 모인다
あつめる,集める,모으다,私は本をたくさん集めています。,わたしはほんをたくさんあつめています。,나는 책을 많이 모으고 있습니다.,私は切手を集めるのが趣味です。,わたしはきってをあつめるのがしゅみです。,저는 우표를 모으는 것이 취미입니다.
あと,後,"뒤, 나중",その作業はあとでしてください。,そのさぎょうはあとでしてください。,그 작업은 나중에 해 주세요.,あとで電話します。,あとででんわします。,나중에 전화하겠습니다
あなた,,당신,あなたの言葉は私を励ましてくれます。,あなたの ことばは わたしを はげましてくれます。,당신의 말씀은 저를 격려해줍니다.,あなたは学生ですか？,あなたはがくせいですか？,당신은 학생입니까?
あに,兄,"형, 오빠",兄は今日会社から早く帰ってきた。,あにはきょうかいしゃからはやくかえってきた。,오빠는 오늘 회사에서 일찍 돌아왔다.,私の兄はギターが上手です。,わたしのあにはギターがじょうずです。,내 형은 기타를 잘합니다
アニメ,,애니메이션,私は子供の頃からアニメが大好きでした。,わたしは こどもの ころから アニメが だいすきでした。,어릴 때부터 애니메이션을 무척 좋아했습니다.,私は毎週アニメを見ます。,わたしはまいしゅうアニメをみます。,나는 매주 애니메이션을 봅니다
あね,姉,"누나, 언니",私のあねは大学生です。,わたしのあねはだいがくせいです。,내 누나는 대학생입니다.,私のあねは大学生です。,わたしのあねはだいがくせいです。,내 누나는 대학생입니다
あの,,"저, 저기",あの人はとてもかっこいいです。,あのひとはとてもかっこいいです。,저 사람은 정말 멋있습니다.,あの人は先生ですか。,あのひとはせんせいですか。,저 사람은 선생님입니까?
あぶない,,위험하다,階段であぶないですよ。,かいだんであぶないですよ。,계단에서 위험해요.,あぶない、車が突然近づいてきた。,あぶない、くるまがとつぜんちかづいてきた。,"위험해, 차가 갑자기 다가왔다"
あまい,,달다,甘い菓子が大好きです。,あまいおかしがだいすきです。,달콤한 과자를 매우 좋아합니다.,このケーキはとてもあまいです。,このけえきはとてもあまいです,이 케이크는 아주 달습니다
あまり,,"별로, 그다지",彼女はあまりお酒が飲めません。,かのじょはあまりおさけがのめません。,그녀는 술을 별로 못 마셉니다.,この映画はあまり面白くない。,このえいがはあまりおもしろくない。,이 영화는 그다지 재미있지 않다
あめ,雨,비,今日はあめが降っています。,きょうはあめがふっています。,오늘은 비가 내리고 있습니다.,今日は雨が降っています。,きょうはあめがふっています。,오늘은 비가 내리고 있습니다
あらう,洗う,씻다,私は毎朝顔をあらいます。,わたしは まいあさ かおを あらいます。,나는 매일 아침 얼굴을 씻습니다.,今日は手を洗います。,きょうはてをあらいます。,오늘은 손을 씻습니다
ある,,(물건이)있다,窓際に本がある。,まどぎわにほんがある。,창가에 책이 있다.,部屋の中にテレビがある。,へやのなかにテレビがある。,방 안에 텔레비전이 있다
あるく,歩く,걷다,公園であるきましょう。,こうえんであるきましょう。,공원에서 걷자.,私は毎朝、公園を歩くのが好きです。,わたしはまいあさ、こうえんをあるくのがすきです。,나는 매일 아침 공원을 걷는 것을 좋아합니다
アルバイト/バイト,,아르바이트,アルバイトを探しているんですが、知り合いにいい場所はありませんか。,あるばいとをさがしているんですが、しりあいにいいばしょはありませんか。,"아르바이트를 찾고 있는데, 친구들에게 좋은 곳이 있는지 물어봐야겠네요.",私は今アルバイトをしています。,わたしはいまアルバイトをしています。,저는 지금 아르바이트를 하고 있습니다
あれ,,저것,あれは昔の思い出の品です。,あれは むかしの おもいでの しなです。,저것은 옛날 추억의 물건입니다.,あれは私のかばんです。,あれはわたしのかばんです。,저것은 내 가방입니다
あんな,,저런,あんな田舎から東京に出てきた人が、大企業の重役になるなんて夢のようだ。,あんな いなか から とうきょう に でて きた ひと が、だいきぎょう の じゅうやく に なる なんて ゆめ の よう だ。,저런 시골에서 도쿄로 나온 사람이 대기업의 간부가 되는 것은 꿈만 같다.,あんな人とは関わりたくない。,あんなひととはかかわりたくない。,저런 사람과는 상관하고 싶지 않아.
あんない,案内,안내,博物館のあんないに従って展示物を見ました。,はくぶつかんのあんないにしたがっててんじぶつをみました。,박물관의 안내에 따라 전시물을 보았습니다.,この案内は英語でも提供されています。,このあんないはえいごでもていきょうされています。,이 안내서는 영어로도 제공되고 있습니다
いい/よい,,좋다,今日の天気はいい天気ですね。,きょうのてんきはいいてんきですね。,오늘 날씨가 좋습니다.,今日はいい天気です。,きょうはいいてんきです。,오늘은 좋은 날씨입니다
いいえ/いえ,,아니요,いいえ、私はそういうつもりはありません。,いいえ、わたしはそういうつもりはありません。,"아니요, 저는 그렇게 할 생각이 없습니다.",いいえ、それはちがいます。,いいえ、それはちがいます。,"아니요, 그것은 다릅니다"
いう,言う,말하다,彼は自分の意見を言う機会を得た。,かれはじぶんのいけんをいうきかいをえた。,그는 자신의 의견을 말할 기회를 얻었다.,彼は『今日は雨が降る』と言う。,かれは『きょうはあめがふる』という。,"그는 ""오늘은 비가 올 거라고 말한다"
いえ,家,집,私はいえにいつもいます。,わたしはいえにいつもいます。,나는 집에 항상 있습니다.,私の家は川沿いにあります。,わたしのいえはかわぞいにあります。,내 집은 강가에 있습니다
いかが,,어떻게,いかがしますか。,いかがしますか。,어떻게 하시겠습니까?,本日のメニューはいかがですか。,ほんじつのメニューはいかがですか。,오늘의 메뉴는 어떠십니까?
いく/ゆく,行く,가다,私は毎日学校へいく。,わたしは まいにち がっこうへ いく。,나는 매일 학교에 간다.,明日、友達と映画を見に行く。,あした、ともだちとえいがをみにいく。,내일 친구와 영화를 보러 간다
